cupcake0_location0,juice0_location0,pancake0_location0,waterglass0_location0,cutleryfork0_location0,fridge_state0,dishwasher_state0,tv_state0,Act_A0,LocA_A0,Act_B0,LocA_B0,Close_B0,cupcake0_location1,juice0_location1,pancake0_location1,waterglass0_location1,cutleryfork0_location1,fridge_state1,dishwasher_state1,tv_state1,Act_A1,LocA_A1,Act_B1,LocA_B1,Close_B1,wineglass0_location0,wineglass0_location1,plate0_location0,plate0_location1,poundcake0_location0,poundcake0_location1
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,walktowards_fridge149,kitchen,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,walktowards_fridge149,kitchen,kitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,walktowards_fridge149,kitchen,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,grab_cutleryfork341,kitchen,cutleryforkkitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,walktowards_fridge149,kitchen,kitchentable,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,grab_cutleryfork341,kitchen,cutleryforkkitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,walktowards_fridge149,kitchen,kitchentable,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,CLOSED,CLOSED,OFF,open_fridge149,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,grab_cutleryfork341,kitchen,cutleryforkkitchentable,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,CLOSED,CLOSED,OFF,open_fridge149,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,grab_cutleryfork341,kitchen,cutleryforkkitchentable,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,grab_juice332,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,CLOSED,CLOSED,OFF,open_fridge149,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,grab_juice332,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,CLOSED,CLOSED,OFF,open_fridge149,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,INSIDE_bedroom_ON_coffeetable,in_agentHandsA,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,putback_juice_kitchentable,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,grab_juice332,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,INSIDE_bedroom_ON_coffeetable,in_agentHandsA,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,putback_juice_kitchentable,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,grab_juice332,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,walktowards_kitchencabinet133,kitchen,walktowards_dishwasher152,kitchen,cutleryforkjuicekitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,in_agentHandsA,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,putback_juice_kitchentable,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,walktowards_kitchencabinet133,kitchen,walktowards_dishwasher152,kitchen,cutleryforkjuicekitchentable,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,in_agentHandsA,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,putback_juice_kitchentable,kitchen,walktowards_dishwasher152,kitchen,cutleryforkkitchentable,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,walktowards_kitchencabinet133,kitchen,walktowards_dishwasher152,kitchen,cutleryforkjuice,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,walktowards_kitchencabinet133,kitchen,walktowards_dishwasher152,kitchen,cutleryforkjuicekitchentable,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,walktowards_kitchencabinet133,kitchen,walktowards_dishwasher152,kitchen,cutleryforkjuice,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,walktowards_kitchencabinet133,kitchen,walktowards_dishwasher152,kitchen,cutleryforkjuicekitchentable,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,open_kitchencabinet133,kitchen,open_dishwasher152,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,walktowards_kitchencabinet133,kitchen,walktowards_dishwasher152,kitchen,cutleryforkjuice,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,open_kitchencabinet133,kitchen,open_dishwasher152,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,walktowards_kitchencabinet133,kitchen,walktowards_dishwasher152,kitchen,cutleryforkjuice,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,OPEN,OFF,grab_pancake333,kitchen,putin_cutleryfork_dishwasher,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,open_kitchencabinet133,kitchen,open_dishwasher152,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,OPEN,OFF,grab_pancake333,kitchen,putin_cutleryfork_dishwasher,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,CLOSED,OFF,open_kitchencabinet133,kitchen,open_dishwasher152,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_dishwasher,OPEN,OPEN,OFF,close_dishwasher152,kitchen,grab_waterglass340,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,OPEN,OFF,grab_pancake333,kitchen,putin_cutleryfork_dishwasher,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_dishwasher,OPEN,OPEN,OFF,close_dishwasher152,kitchen,grab_waterglass340,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,in_agentHandsB,OPEN,OPEN,OFF,grab_pancake333,kitchen,putin_cutleryfork_dishwasher,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,CLOSED,OFF,walktowards_kitchentable123,kitchen,walktowards_dishwasher152,kitchen,juicekitchencabinetpancakeplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_dishwasher,OPEN,OPEN,OFF,close_dishwasher152,kitchen,grab_waterglass340,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,CLOSED,OFF,walktowards_kitchentable123,kitchen,walktowards_dishwasher152,kitchen,juicekitchencabinetpancakeplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_dishwasher,OPEN,OPEN,OFF,close_dishwasher152,kitchen,grab_waterglass340,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,CLOSED,OFF,putback_pancake_kitchentable,kitchen,open_dishwasher152,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,CLOSED,OFF,walktowards_kitchentable123,kitchen,walktowards_dishwasher152,kitchen,juicekitchencabinetpancakeplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,CLOSED,OFF,putback_pancake_kitchentable,kitchen,open_dishwasher152,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,CLOSED,OFF,walktowards_kitchentable123,kitchen,walktowards_dishwasher152,kitchen,juicekitchencabinetpancakeplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_ON_kitchentable,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,OPEN,OFF,walktowards_bedroom185,kitchen,putin_waterglass_dishwasher,kitchen,cutleryforkdishwasherkitchencabinetplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,CLOSED,OFF,putback_pancake_kitchentable,kitchen,open_dishwasher152,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_ON_kitchentable,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,OPEN,OFF,walktowards_bedroom185,kitchen,putin_waterglass_dishwasher,kitchen,cutleryforkdishwasherkitchencabinetplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,in_agentHandsA,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,CLOSED,OFF,putback_pancake_kitchentable,kitchen,open_dishwasher152,kitchen,cutleryforkdishwasherkitchencabinetpancakeplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_dishwasher,INSIDE_kitchen_INSIDE_dishwasher,OPEN,OPEN,OFF,walktowards_bedroom185,kitchen,close_dishwasher152,kitchen,cutleryforkdishwasherkitchencabinetplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_ON_kitchentable,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,OPEN,OFF,walktowards_bedroom185,kitchen,putin_waterglass_dishwasher,kitchen,cutleryforkdishwasherkitchencabinetplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_dishwasher,INSIDE_kitchen_INSIDE_dishwasher,OPEN,OPEN,OFF,walktowards_bedroom185,kitchen,close_dishwasher152,kitchen,cutleryforkdishwasherkitchencabinetplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_ON_kitchentable,in_agentHandsB,INSIDE_kitchen_INSIDE_dishwasher,OPEN,OPEN,OFF,walktowards_bedroom185,kitchen,putin_waterglass_dishwasher,kitchen,cutleryforkdishwasherkitchencabinetplatepuddingpuddingwaterglasswine,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_ON_kitchentable,INSIDE_kitchen_INSIDE_dishwasher,INSIDE_kitchen_INSIDE_dishwasher,OPEN,CLOSED,OFF,walktowards_bedroom185,kitchen,walktowards_bedroom185,kitchen,cutleryforkdishwasherkitchencabinetplatepuddingpuddingwaterglasswine,null,null,null,null,null,null
