on_crate10,at_crate50,available0,at_crate40,on_crate60,at_crate20,at_crate60,on_crate50,at_crate70,at_crate10,on_crate70,on_crate40,clear0,at_crate00,at_truck10,at_crate30,on_crate20,on_crate30,on_crate00,lifting_hoist20,in_crate60,lifting_hoist10,in_crate20,lifting_hoist00,in_crate70,in_crate40,in_crate10,in_crate00,in_crate50,in_crate30,action0,on_crate11,at_crate51,available1,at_crate41,on_crate61,at_crate21,at_crate61,on_crate51,at_crate71,at_crate11,on_crate71,on_crate41,clear1,at_crate01,at_truck11,at_crate31,on_crate21,on_crate31,on_crate01,lifting_hoist21,in_crate61,lifting_hoist11,in_crate21,lifting_hoist01,in_crate71,in_crate41,in_crate11,in_crate01,in_crate51,in_crate31,action1
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,crate,null,null,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,crate,null,null,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,crate,null,null,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,drive_truck_distributor_distributor,crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,lift_hoist_crate_pallet_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,drive_truck_distributor_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,crate,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,drive_truck_distributor_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,drive_truck_distributor_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,drive_truck_distributor_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,drive_truck_distributor_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,lift_hoist_crate_pallet_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,crate,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,lift_hoist_crate_pallet_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,lift_hoist_crate_pallet_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,lift_hoist_crate_pallet_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,lift_hoist_crate_pallet_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot
crate,distributor,hoist,depot,null,distributor,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,pallet,pallet,pallet,null,truck,null,null,null,null,null,null,null,null,null,lift_hoist_crate_pallet_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,crate,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,crate,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,crate,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,crate,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,crate,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,crate,null,null,null,null,null,null,null,null,load_hoist_crate_truck_distributor,crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,truck,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,null,null,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,null,null,null,null,null,null,load_hoist_crate_truck_depot
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor,crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor,crate,null,null,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,null,null,null,null,null,null,load_hoist_crate_truck_depot
crate,distributor,hoist,depot,null,null,null,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,truck,null,null,null,null,null,null,null,drop_hoist_crate_pallet_distributor,crate,null,hoist,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,truck,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,null,null,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,null,null,null,null,null,null,load_hoist_crate_truck_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,null,hoist,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,truck,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,null,truck,null,null,null,null,null,null,null,unload_hoist_crate_truck_distributor,crate,null,null,null,pallet,null,distributor,null,null,depot,null,null,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,truck,null,null,null,null,null,load_hoist_crate_truck_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot,crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot,crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot,crate,null,null,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,null,null,null,null,null,null,load_hoist_crate_truck_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot,crate,null,hoist,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,truck,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot,crate,null,null,null,pallet,null,distributor,null,null,depot,null,null,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,truck,null,null,null,null,null,load_hoist_crate_truck_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,distributor,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,drive_truck_distributor_depot,crate,null,hoist,null,pallet,null,distributor,null,null,depot,null,null,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,truck,truck,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor,crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor,crate,null,null,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,null,null,null,null,null,null,load_hoist_crate_truck_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor,crate,null,hoist,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,truck,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor,crate,null,null,null,pallet,null,distributor,null,null,depot,null,null,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,truck,null,null,null,null,null,load_hoist_crate_truck_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor,crate,null,hoist,null,pallet,null,distributor,null,null,depot,null,null,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,truck,truck,null,null,null,null,lift_hoist_crate_crate_depot
crate,distributor,hoist,depot,pallet,null,distributor,crate,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,null,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_distributor,null,null,null,null,pallet,null,distributor,null,null,null,null,null,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,truck,truck,null,null,null,null,load_hoist_crate_truck_depot
crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot,crate,null,null,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,null,null,null,null,null,null,load_hoist_crate_truck_depot
crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot,crate,null,hoist,depot,pallet,null,distributor,null,null,depot,null,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,truck,null,null,null,null,null,lift_hoist_crate_crate_depot
crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot,crate,null,null,null,pallet,null,distributor,null,null,depot,null,null,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,truck,null,null,null,null,null,load_hoist_crate_truck_depot
crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot,crate,null,hoist,null,pallet,null,distributor,null,null,depot,null,null,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,truck,truck,null,null,null,null,lift_hoist_crate_crate_depot
crate,null,hoist,depot,pallet,null,distributor,null,depot,depot,crate,crate,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,null,null,null,null,null,null,null,lift_hoist_crate_crate_depot,null,null,null,null,pallet,null,distributor,null,null,null,null,null,crate,depot,depot,distributor,null,pallet,pallet,crate,null,crate,null,crate,truck,truck,null,null,null,null,load_hoist_crate_truck_depot
